bname	,	bcategory	,	payment	,	note	,	amount	,	btime	
塔斯汀	,	餐饮	,	支付宝	,		,	32.8	,	2023/4/8	12:00:00
耐克官方旗舰店	,	服饰	,	支付宝	,		,	699	,	2023/4/9	20:00:32
古茗	,	餐饮	,	微信	,		,	21	,	2023/4/9	21:10:00
德克士	,	餐饮	,	支付宝	,		,	24.5	,	2023/4/9	12:30:00
山姆会员商店	,	购物	,	银行卡	,		,	145	,	2023/4/9	10:20:00
罗森	,	餐饮	,	支付宝	,		,	21	,	2023/4/10	8:00:00
新华书店	,	学习	,	银行卡	,		,	39	,	2023/4/10	12:30:00
必胜客	,	餐饮	,	支付宝	,		,	29.9	,	2023/4/10	6:30:06
山姆会员商店	,	购物	,	微信	,		,	105.6	,	2023/4/10	14:00:00
德克士	,	餐饮	,	微信	,		,	76	,	2023/4/11	5:30:00
地铁	,	公交	,	微信	,		,	3	,	2023/4/11	12:00:00
名创优品	,	礼物	,	支付宝	,		,	29.9	,	2023/4/11	20:00:32
苏宁易购	,	居家	,	微信	,		,	649	,	2023/4/11	21:10:00
李宁	,	服饰	,	支付宝	,		,	120	,	2023/4/12	11:04:00
清风官方旗舰店	,	日用	,	银行卡	,		,	59	,	2023/4/12	14:30:00
携程旅行	,	旅行	,	支付宝	,		,	75	,	2023/4/12	17:30:00
迦南	,	餐饮	,	微信	,		,	29	,	2023/4/12	12:00:00
OATLY	,	餐饮	,	银行卡	,		,	30	,	2023/4/13	22:03:43
全家便利店	,	餐饮	,	支付宝	,		,	28	,	2023/4/13	9:30:00
地铁	,	公交	,	微信	,		,	2	,	2023/4/13	22:00:00
罗森	,	餐饮	,	支付宝	,		,	28	,	2023/4/13	11:04:00
KATO旗舰店	,	美容	,	银行卡	,		,	58	,	2023/4/14	14:00:00
新华书店	,	学习	,	支付宝	,		,	20	,	2023/4/14	17:30:00
塔斯汀	,	餐饮	,	微信	,		,	34.5	,	2023/4/14	12:00:00
The Green Party	,	礼物	,	银行卡	,		,	29.9	,	2023/4/14	22:03:43
KATO旗舰店	,	美容	,	微信	,		,	120	,	2023/4/15	8:00:00
名创优品	,	礼物	,	支付宝	,		,	43	,	2023/4/15	12:30:00
腾讯会员	,	娱乐	,	微信	,	开会员	,	20	,	2023/4/15	6:30:06
德克士	,	餐饮	,	支付宝	,		,	34.5	,	2023/4/15	14:00:00
公交车	,	公交	,	支付宝	,		,	3	,	2023/4/16	5:30:00
山姆会员商店	,	购物	,	支付宝	,		,	120	,	2023/4/16	12:00:00
芒果TV	,	娱乐	,	支付宝	,		,	80	,	2023/4/16	20:00:32
耐克官方旗舰店	,	服饰	,	支付宝	,		,	499	,	2023/4/16	21:10:00
新华书店	,	学习	,	支付宝	,		,	76	,	2023/4/17	21:10:00
新远下沙影城	,	娱乐	,	微信	,		,	39.9	,	2023/4/17	10:20:00
罗森	,	餐饮	,	支付宝	,		,	29.9	,	2023/4/17	8:00:00
苏宁易购	,	居家	,	银行卡	,		,	549	,	2023/4/17	12:30:00
